EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
"125","Julia","Nayer","JNAYER","650.124.1214",1997-7-16,"ST_CLERK","39151.54","","120","50"
"126","Irene","Mikkilineni","IMIKKILI","650.124.1224",1998-9-28,"ST_CLERK","39151.54","","120","50"
"127","James","Landry","JLANDRY","650.124.1334",1999-1-14,"ST_CLERK","39151.54","","120","50"
"128","Steven","Markle","SMARKLE","650.124.1434",2000-3-8,"ST_CLERK","39151.54","","120","50"
"129","Laura","Bissot","LBISSOT","650.124.5234",1997-8-20,"ST_CLERK","39151.54","","121","50"
"130","Mozhe","Atkinson","MATKINSO","650.124.6234",1997-10-30,"ST_CLERK","47373.36","","121","50"
"131","James","Marlow","JAMRLOW","650.124.7234",1997-2-16,"ST_CLERK","39151.54","","121","50"
"132","TJ","Olson","TJOLSON","650.124.8234",1999-4-10,"ST_CLERK","39151.54","","121","50"
"133","Jason","Mallin","JMALLIN","650.127.1934",1996-6-14,"ST_CLERK","39151.54","","122","50"
"134","Michael","Rogers","MROGERS","650.127.1834",1998-8-26,"ST_CLERK","39151.54","","122","50"
"135","Ki","Gee","KGEE","650.127.1734",1999-12-12,"ST_CLERK","39151.54","","122","50"
"136","Hazel","Philtanker","HPHILTAN","650.127.1634",2000-2-6,"ST_CLERK","39151.54","","122","50"
"137","Renske","Ladwig","RLADWIG","650.121.1234",1995-7-14,"ST_CLERK","39151.54","","123","50"
"138","Stephen","Stiles","SSTILES","650.121.2034",1997-10-26,"ST_CLERK","47373.36","","123","50"
"139","John","Seo","JSEO","650.121.2019",1998-2-12,"ST_CLERK","47373.36","","123","50"
"140","Joshua","Patel","JPATEL","650.121.1834",1998-4-6,"ST_CLERK","39151.54","","123","50"
"141","Trenna","Rajs","TRAJS","650.121.8009",1995-10-17,"ST_CLERK","39151.54","","124","50"
"142","Curtis","Davies","CDAVIES","650.121.2994",1997-1-29,"ST_CLERK","39151.54","","124","50"
"143","Randall","Matos","RMATOS","650.121.2874",1998-3-15,"ST_CLERK","39151.54","","124","50"
"144","Peter","Vargas","PVARGAS","650.121.2004",1998-7-9,"ST_CLERK","39151.54","","124","50"
"145","John","Russell","JRUSSEL","011.44.1344.429268",1996-10-1,"SA_MAN","14000.00","0.40","100","80"
"146","Karen","Partners","KPARTNER","011.44.1344.467268",1997-1-5,"SA_MAN","13500.00","0.30","100","80"
"147","Alberto","Errazuriz","AERRAZUR","011.44.1344.429278",1997-3-10,"SA_MAN","12000.00","0.30","100","80"
"148","Gerald","Cambrault","GCAMBRAU","011.44.1344.619268",1999-10-15,"SA_MAN","13200.00","0.30","100","80"
"149","Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018",2000-1-29,"SA_MAN","12600.00","0.20","100","80"
"150","Peter","Tucker","PTUCKER","011.44.1344.129268",1997-1-30,"SA_REP","10000.00","0.30","145","80"
"151","David","Bernstein","DBERNSTE","011.44.1344.345268",1997-3-24,"SA_REP","9500.00","0.25","145","80"
"152","Peter","Hall","PHALL","011.44.1344.478968",1997-8-20,"SA_REP","9000.00","0.25","145","80"
"153","Christopher","Olsen","COLSEN","011.44.1344.498718",1998-3-30,"SA_REP","49533.89","0.20","145","80"
"154","Nanette","Cambrault","NCAMBRAU","011.44.1344.987668",1998-12-9,"SA_REP","9000.00","0.20","145","80"
"155","Oliver","Tuvault","OTUVAULT","011.44.1344.486508",1999-11-23,"SA_REP","7000.00","0.15","145","80"
"156","Janette","King","JKING","011.44.1345.429268",1996-1-30,"SA_REP","10100.00","0.35","146","80"
"157","Patrick","Sully","PSULLY","011.44.1345.929268",1996-3-4,"SA_REP","11495.00","0.35","146","80"
"158","Allan","McEwen","AMCEWEN","011.44.1345.829268",1996-8-1,"SA_REP","9000.00","0.35","146","80"
"159","Lindsey","Smith","LSMITH","011.44.1345.729268",1997-3-10,"SA_REP","9680.00","0.30","146","80"
"160","Louise","Doran","LDORAN","011.44.1345.629268",1997-12-15,"SA_REP","7500.00","0.30","146","80"
"161","Sarath","Sewall","SSEWALL","011.44.1345.529268",1998-11-3,"SA_REP","14636.16","0.25","146","80"
"162","Clara","Vishney","CVISHNEY","011.44.1346.129268",1997-11-11,"SA_REP","65013.24","0.25","147","80"
"163","Danielle","Greene","DGREENE","011.44.1346.229268",1999-3-19,"SA_REP","9500.00","0.15","147","80"
"164","Mattea","Marvins","MMARVINS","011.44.1346.329268",2000-1-24,"SA_REP","7200.00","0.10","147","80"
"165","David","Lee","DLEE","011.44.1346.529268",2000-2-23,"SA_REP","6800.00","0.10","147","80"
"166","Sundar","Ande","SANDE","011.44.1346.629268",2000-3-24,"SA_REP","13381.63","0.10","147","80"
"167","Amit","Banda","ABANDA","011.44.1346.729268",2000-4-21,"SA_REP","6200.00","0.10","147","80"
"168","Lisa","Ozer","LOZER","011.44.1343.929268",1997-3-11,"SA_REP","11500.00","0.25","148","80"
"169","Harrison","Bloom","HBLOOM","011.44.1343.829268",1998-3-23,"SA_REP","10000.00","0.20","148","80"
"170","Tayler","Fox","TFOX","011.44.1343.729268",1998-1-24,"SA_REP","9600.00","0.20","148","80"
"171","William","Smith","WSMITH","011.44.1343.629268",1999-2-23,"SA_REP","8954.00","0.15","148","80"
"172","Elizabeth","Bates","EBATES","011.44.1343.529268",1999-3-24,"SA_REP","7300.00","0.15","148","80"
"173","Sundita","Kumar","SKUMAR","011.44.1343.329268",2000-4-21,"SA_REP","10540.80","0.10","148","80"
"174","Ellen","Abel","EABEL","011.44.1644.429267",1996-5-11,"SA_REP","13310.00","0.30","149","80"
"175","Alyssa","Hutton","AHUTTON","011.44.1644.429266",1997-3-19,"SA_REP","8800.00","0.25","149","80"
"176","Jonathon","Taylor","JTAYLOR","011.44.1644.429265",1998-3-24,"SA_REP","8600.00","0.20","149","80"
"177","Jack","Livingston","JLIVINGS","011.44.1644.429264",1998-4-23,"SA_REP","8400.00","0.20","149","80"
"178","Kimberely","Grant","KGRANT","011.44.1644.429263",1999-5-24,"SA_REP","7000.00","0.15","149",""
"179","Charles","Johnson","CJOHNSON","011.44.1644.429262",2000-1-4,"SA_REP","38388.76","0.10","149","80"
"180","Winston","Taylor","WTAYLOR","650.507.9876",1998-1-24,"SH_CLERK","39151.54","","120","50"
"181","Jean","Fleaur","JFLEAUR","650.507.9877",1998-2-23,"SH_CLERK","39151.54","","120","50"
"182","Martha","Sullivan","MSULLIVA","650.507.9878",1999-6-21,"SH_CLERK","47373.36","","120","50"
"183","Girard","Geoni","GGEONI","650.507.9879",2000-2-3,"SH_CLERK","39151.54","","120","50"
"184","Nandita","Sarchand","NSARCHAN","650.509.1876",1996-1-27,"SH_CLERK","47373.36","","121","50"
"185","Alexis","Bull","ABULL","650.509.2876",1997-2-20,"SH_CLERK","39151.54","","121","50"
"186","Julia","Dellinger","JDELLING","650.509.3876",1998-6-24,"SH_CLERK","39151.54","","121","50"
"187","Anthony","Cabrio","ACABRIO","650.509.4876",1999-2-7,"SH_CLERK","46981.85","","121","50"
"188","Kelly","Chung","KCHUNG","650.505.1876",1997-6-14,"SH_CLERK","46981.85","","122","50"
"189","Jennifer","Dilly","JDILLY","650.505.2876",1997-8-13,"SH_CLERK","39151.54","","122","50"
"190","Timothy","Gates","TGATES","650.505.3876",1998-7-11,"SH_CLERK","39151.54","","122","50"
"191","Randall","Perkins","RPERKINS","650.505.4876",1999-12-19,"SH_CLERK","39151.54","","122","50"
"192","Sarah","Bell","SBELL","650.501.1876",1996-2-4,"SH_CLERK","39151.54","","123","50"
"193","Britney","Everett","BEVERETT","650.501.2876",1997-3-3,"SH_CLERK","39151.54","","123","50"
"194","Samuel","McCain","SMCCAIN","650.501.3876",1998-7-1,"SH_CLERK","39151.54","","123","50"
"195","Vance","Jones","VJONES","650.501.4876",1999-3-17,"SH_CLERK","39151.54","","123","50"
"196","Alana","Walsh","AWALSH","650.507.9811",1998-4-24,"SH_CLERK","39151.54","","124","50"
"197","Kevin","Feeney","KFEENEY","650.507.9822",1998-5-23,"SH_CLERK","39151.54","","124","50"
"198","Donald","OConnell","DOCONNEL","650.507.9833",1999-6-21,"SH_CLERK","39151.54","","124","50"
"199","Douglas","Grant","DGRANT","650.507.9844",2000-1-13,"SH_CLERK","39151.54","","124","50"
"200","Jennifer","Whalen","JWHALEN","515.123.4444",1987-9-17,"AD_ASST","4400.00","","101","10"
"201","Michael","Hartstein","MHARTSTE","515.123.5555",1996-2-17,"MK_MAN","13000.00","","100","20"
"202","Pat","Fay","PFAY","603.123.6666",1997-8-17,"MK_REP","6000.00","","201","20"
"203","Susan","Mavris","SMAVRIS","515.123.7777",1994-6-7,"HR_REP","11232.00","","101","40"
"204","Hermann","Baer","HBAER","515.123.8888",1994-6-7,"PR_REP","10000.00","","101","70"
"205","Shelley","Higgins","SHIGGINS","515.123.8080",1994-6-7,"AC_MGR","20736.00","","101","110"
"206","William","Gietz","WGIETZ","515.123.8181",1994-6-7,"AC_ACCOUNT","8300.00","","205","110"
